Name, Release, LOC, #Comments, #Revisions, #Auth, #Fix, LOC touched, LOC added, MAX LOC added, AVG LOC added, churn, MAX churn, AVG churn, Buggy
src/java/org/apache/avro/io/ParsingTable.java,1.1.0,383,92,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/ResolvingTable.java,1.1.0,489,51,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/AvroRuntimeException.java,1.2.0,25,18,1,1,0,1,1,1,1,1,1,1,NO
src/java/org/apache/avro/AvroTypeException.java,1.2.0,25,18,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/Protocol.java,1.2.0,354,50,1,1,0,17,15,15,15,13,13,13,YES
src/java/org/apache/avro/Schema.java,1.2.0,774,66,2,1,0,145,95,95,47,47,46,23,YES
src/java/org/apache/avro/SchemaParseException.java,1.2.0,25,18,1,1,0,1,1,1,1,1,1,1,NO
src/java/org/apache/avro/file/DataFileConstants.java,1.2.0,38,20,1,1,1,38,38,38,38,38,38,38,NO
src/java/org/apache/avro/file/DataFileReader.java,1.2.0,235,33,2,1,1,39,28,19,14,17,9,8,NO
src/java/org/apache/avro/file/DataFileWriter.java,1.2.0,199,36,1,1,1,25,9,9,9,7,7,7,NO
src/java/org/apache/avro/file/SeekableFileInput.java,1.2.0,34,18,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/file/SeekableInput.java,1.2.0,36,22,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/generic/GenericArray.java,1.2.0,36,24,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/generic/GenericContainer.java,1.2.0,26,19,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/generic/GenericData.java,1.2.0,441,42,2,1,0,13,13,12,6,13,12,6,YES
src/java/org/apache/avro/generic/GenericDatumReader.java,1.2.0,465,84,1,1,0,7,5,5,5,3,3,3,YES
src/java/org/apache/avro/generic/GenericDatumWriter.java,1.2.0,191,45,0,0,0,0,0,0,0,0,0,0,YES
src/java/org/apache/avro/generic/GenericFixed.java,1.2.0,24,19,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/generic/GenericRecord.java,1.2.0,24,18,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/generic/GenericRequestor.java,1.2.0,52,18,1,1,0,5,0,0,0,5,5,5,NO
src/java/org/apache/avro/generic/GenericResponder.java,1.2.0,54,21,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/BinaryData.java,1.2.0,192,25,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/BinaryDecoder.java,1.2.0,300,57,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/BinaryEncoder.java,1.2.0,250,37,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/BlockingBinaryEncoder.java,1.2.0,618,116,1,1,0,9,0,0,0,9,9,9,NO
src/java/org/apache/avro/io/DatumReader.java,1.2.0,37,24,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/DatumWriter.java,1.2.0,35,23,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/Decoder.java,1.2.0,279,219,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/Encoder.java,1.2.0,274,212,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/JsonDecoder.java,1.2.0,398,18,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/JsonEncoder.java,1.2.0,238,21,1,1,1,4,1,1,1,2,2,2,NO
