Iteration,%TrainingInstances,Classifier,Feature Selection,Sampling,Cost Sensitive,Precision,Recall,AUC,Kappa,TP,FP,TN,FN,Cost
5,81.74603174603175,NaiveBayes,BestFirst(backward),none,none,0.5,0.058823529411764705,0.7764105642256903,0.07652338214454395,1.0,1.0,97.0,16.0,161.0
5,81.74603174603175,RandomForest,none,SMOTE,none,0.5,0.11764705882352941,0.6647659063625451,0.14216761737604175,2.0,2.0,96.0,15.0,152.0
5,81.74603174603175,IBk,none,SMOTE,none,0.5,0.17647058823529413,0.6437575030012005,0.19909873002867678,3.0,3.0,95.0,14.0,143.0
5,81.74603174603175,NaiveBayes,none,SMOTE,none,NaN,0.0,0.5651260504201681,0.0,0.0,0.0,98.0,17.0,170.0
5,81.74603174603175,RandomForest,none,none,SensitiveThreshold,0.45454545454545453,0.29411764705882354,0.6941776710684273,0.2726633872101194,5.0,6.0,92.0,12.0,126.0
5,81.74603174603175,IBk,none,none,SensitiveThreshold,0.42857142857142855,0.17647058823529413,0.6437575030012005,0.17922283901665365,3.0,4.0,94.0,14.0,144.0
5,81.74603174603175,NaiveBayes,none,none,SensitiveThreshold,0.0,0.0,0.5615246098439376,-0.01669941060903711,0.0,1.0,97.0,17.0,171.0
5,81.74603174603175,RandomForest,BestFirst(backward),SMOTE,none,0.3333333333333333,0.11764705882352941,0.6635654261704682,0.10487505120852106,2.0,4.0,94.0,15.0,154.0
5,81.74603174603175,IBk,BestFirst(backward),SMOTE,none,0.375,0.17647058823529413,0.7292917166866747,0.16058394160583922,3.0,5.0,93.0,14.0,145.0
5,81.74603174603175,NaiveBayes,BestFirst(backward),SMOTE,none,NaN,0.0,0.7337935174069627,0.0,0.0,0.0,98.0,17.0,170.0
5,81.74603174603175,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.23076923076923078,0.17647058823529413,0.5846338535414166,0.08244680851063838,3.0,10.0,88.0,14.0,150.0
5,81.74603174603175,IBk,BestFirst(backward),none,SensitiveThreshold,0.375,0.17647058823529413,0.7331932773109243,0.16058394160583922,3.0,5.0,93.0,14.0,145.0
5,81.74603174603175,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.3333333333333333,0.058823529411764705,0.7764105642256903,0.05823475887170155,1.0,2.0,96.0,16.0,162.0
6,79.46428571428571,RandomForest,none,none,none,0.3333333333333333,0.5,0.9617834394904459,0.3815620998719593,2.0,4.0,153.0,2.0,24.0
6,79.46428571428571,IBk,none,none,none,0.3,0.75,0.9116242038216561,0.40754369825207,3.0,7.0,150.0,1.0,17.0
6,79.46428571428571,NaiveBayes,none,none,none,0.09090909090909091,0.25,0.8057324840764332,0.10055865921787646,1.0,10.0,147.0,3.0,40.0
6,79.46428571428571,RandomForest,BestFirst(backward),none,none,0.3333333333333333,0.5,0.8909235668789809,0.3815620998719593,2.0,4.0,153.0,2.0,24.0
6,79.46428571428571,IBk,BestFirst(backward),none,none,0.05555555555555555,0.25,0.47770700636942676,0.05238375515008828,1.0,17.0,140.0,3.0,47.0
6,79.46428571428571,NaiveBayes,BestFirst(backward),none,none,0.0,0.0,0.9092356687898089,-0.02547770700637007,0.0,4.0,153.0,4.0,44.0
6,79.46428571428571,RandomForest,none,SMOTE,none,0.2,0.5,0.9442675159235668,0.25942962281508714,2.0,8.0,149.0,2.0,28.0
6,79.46428571428571,IBk,none,SMOTE,none,0.3076923076923077,1.0,0.9745222929936306,0.449677174325864,4.0,9.0,148.0,0.0,9.0
6,79.46428571428571,NaiveBayes,none,SMOTE,none,0.0,0.0,0.7054140127388535,-0.036798528058878545,0.0,10.0,147.0,4.0,50.0
6,79.46428571428571,RandomForest,none,none,SensitiveThreshold,0.14285714285714285,0.75,0.9410828025477707,0.20689655172413807,3.0,18.0,139.0,1.0,28.0
6,79.46428571428571,IBk,none,none,SensitiveThreshold,0.2727272727272727,0.75,0.9116242038216561,0.3773098409969918,3.0,8.0,149.0,1.0,18.0
6,79.46428571428571,NaiveBayes,none,none,SensitiveThreshold,0.13333333333333333,0.5,0.8057324840764332,0.17829193603266458,2.0,13.0,144.0,2.0,33.0
6,79.46428571428571,RandomForest,BestFirst(backward),SMOTE,none,0.3333333333333333,0.75,0.9394904458598726,0.44235526966848115,3.0,6.0,151.0,1.0,16.0
6,79.46428571428571,IBk,BestFirst(backward),SMOTE,none,0.13333333333333333,0.5,0.7555732484076433,0.17829193603266458,2.0,13.0,144.0,2.0,33.0
6,79.46428571428571,NaiveBayes,BestFirst(backward),SMOTE,none,0.2,0.5,0.7101910828025477,0.25942962281508714,2.0,8.0,149.0,2.0,28.0
6,79.46428571428571,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.15,0.75,0.8773885350318471,0.21760259179265679,3.0,17.0,140.0,1.0,27.0
6,79.46428571428571,IBk,BestFirst(backward),none,SensitiveThreshold,0.05263157894736842,0.25,0.47770700636942676,0.04787383835539279,1.0,18.0,139.0,3.0,48.0
