name,firstCommit,#Commits
src/java/org/apache/avro/ipc/SocketTransceiver.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/ipc/Transceiver.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/reflect/FixedSize.java,commit 79d571847ca673a23733377fdfd9a489017c499c 1250095160 -----sp,2
src/java/org/apache/avro/reflect/ReflectData.java,commit 490d0c72dc345c4683e9099e8f2b5244cffb868a 1251915002 -----sp,4
src/java/org/apache/avro/reflect/ReflectDatumReader.java,commit 79d571847ca673a23733377fdfd9a489017c499c 1250095160 -----sp,3
src/java/org/apache/avro/reflect/ReflectDatumWriter.java,commit 490d0c72dc345c4683e9099e8f2b5244cffb868a 1251915002 -----sp,7
src/java/org/apache/avro/reflect/ReflectRequestor.java,commit 490d0c72dc345c4683e9099e8f2b5244cffb868a 1251915002 -----sp,4
src/java/org/apache/avro/reflect/ReflectResponder.java,commit 490d0c72dc345c4683e9099e8f2b5244cffb868a 1251915002 -----sp,3
src/java/org/apache/avro/specific/ProtocolTask.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/specific/SchemaTask.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/specific/SpecificCompiler.java,commit 490d0c72dc345c4683e9099e8f2b5244cffb868a 1251915002 -----sp,4
src/java/org/apache/avro/specific/SpecificData.java,commit b43975aa1e773cd471f5771d7c7faac7a0f73a7c 1252012786 -----sp,2
src/java/org/apache/avro/specific/SpecificDatumReader.java,commit 79d571847ca673a23733377fdfd9a489017c499c 1250095160 -----sp,2
src/java/org/apache/avro/specific/SpecificDatumWriter.java,commit 79d571847ca673a23733377fdfd9a489017c499c 1250095160 -----sp,2
src/java/org/apache/avro/specific/SpecificExceptionBase.java,commit 490d0c72dc345c4683e9099e8f2b5244cffb868a 1251915002 -----sp,2
src/java/org/apache/avro/specific/SpecificFixed.java,commit f352f56536e1855bdb97208b23f65c659eed3b69 1248806691 -----sp,1
src/java/org/apache/avro/specific/SpecificRecord.java,commit 490d0c72dc345c4683e9099e8f2b5244cffb868a 1251915002 -----sp,2
src/java/org/apache/avro/specific/SpecificRecordBase.java,commit 490d0c72dc345c4683e9099e8f2b5244cffb868a 1251915002 -----sp,2
src/java/org/apache/avro/specific/SpecificRequestor.java,commit 490d0c72dc345c4683e9099e8f2b5244cffb868a 1251915002 -----sp,5
src/java/org/apache/avro/specific/SpecificResponder.java,commit 79d571847ca673a23733377fdfd9a489017c499c 1250095160 -----sp,2
src/java/org/apache/avro/util/Utf8.java,commit 490d0c72dc345c4683e9099e8f2b5244cffb868a 1251915002 -----sp,2
src/java/org/apache/avro/io/ParsingTable.java,,0
src/java/org/apache/avro/io/ResolvingTable.java,,0
src/java/org/apache/avro/AvroRuntimeException.java,commit db971a2ecfa4990f3512afac14acc1fb37248a42 1255121687 -----sp,1
src/java/org/apache/avro/AvroTypeException.java,,0
src/java/org/apache/avro/Protocol.java,commit 777d0477c689d2fd9ebfe72dbd4e4dbab705a99f 1253913053 -----sp,1
src/java/org/apache/avro/Schema.java,commit bc9491c9dcea4035f3fd4733a2c0b649d08398ed 1255553215 -----sp,2
src/java/org/apache/avro/SchemaParseException.java,commit db971a2ecfa4990f3512afac14acc1fb37248a42 1255121687 -----sp,1
src/java/org/apache/avro/file/DataFileConstants.java,commit dc0107bc2ed79e4c17b8ddbb178fd14357d47147 1254940593 -----sp,1
src/java/org/apache/avro/file/DataFileReader.java,commit bc9491c9dcea4035f3fd4733a2c0b649d08398ed 1255553215 -----sp,2
src/java/org/apache/avro/file/DataFileWriter.java,commit dc0107bc2ed79e4c17b8ddbb178fd14357d47147 1254940593 -----sp,1
src/java/org/apache/avro/file/SeekableFileInput.java,,0
src/java/org/apache/avro/file/SeekableInput.java,,0
