key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
AVRO-640,2010-08-27,2010-08-27,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-650,2010-09-01,2010-09-03,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-652,2010-09-02,2010-09-02,1.3.2,1.4.0,1.4.0,[1.3.2, 1.3.3],0
AVRO-663,2010-09-09,2011-01-14,1.4.0,1.4.1,1.5.0,[1.4.0, 1.4.1],0
AVRO-664,2010-09-10,2010-09-14,1.4.0,1.4.1,1.4.1,[1.4.0],0
AVRO-666,2010-09-12,2010-09-12,1.3.3,1.4.1,1.4.1,[1.3.3, 1.4.0],0
AVRO-667,2010-09-16,2010-09-17,1.4.0,1.4.1,1.4.1,[1.4.0],0
AVRO-669,2010-09-17,2010-12-29,1.4.0,1.4.1,1.5.0,[1.4.0, 1.4.1],0
AVRO-671,2010-09-19,2010-10-07,1.3.3,1.4.1,1.4.1,[1.3.3, 1.4.0],0
AVRO-675,2010-09-30,2010-10-05,1.4.0,1.4.1,1.4.1,[1.4.0],0
AVRO-681,2010-10-14,2010-10-14,1.4.0,1.5.0,1.5.0,[1.4.0, 1.4.1],0
AVRO-685,2010-10-27,2010-10-28,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-688,2010-11-01,2011-01-17,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-693,2010-11-04,2010-11-05,1.4.0,1.5.0,1.5.0,[1.4.0, 1.4.1],0
AVRO-694,2010-11-08,2011-01-07,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-696,2010-11-17,2010-11-17,1.4.0,1.5.0,1.5.0,[1.4.0, 1.4.1],0
AVRO-701,2010-11-23,2011-02-24,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-702,2010-11-24,2010-11-29,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-704,2010-11-30,2010-12-10,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-705,2010-12-01,2010-12-10,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-706,2010-12-02,2010-12-03,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-710,2010-12-12,2010-12-13,1.4.0,1.5.0,1.5.0,[1.4.0, 1.4.1, 1.5.0, 1.4.1],0
AVRO-713,2010-12-15,2010-12-16,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-717,2010-12-21,2011-01-04,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-718,2010-12-23,2010-12-29,1.4.0,1.5.0,1.5.0,[1.4.0, 1.4.1],0
AVRO-732,2011-01-13,2019-04-05,1.1.0,1.5.0,1.9.0,[1.1.0, 1.2.0, 1.3.0, 1.3.1, 1.3.2, 1.3.3, 1.4.0, 1.4.1, 1.5.0, 1.5.1, 1.5.2, 1.5.3, 1.5.4, 1.6.0, 1.6.1, 1.6.2, 1.6.3, 1.7.0, 1.7.1, 1.7.2, 1.7.3, 1.7.4, 1.7.5, 1.7.7, 1.8.0, 1.8.1, 1.8.2],0
AVRO-736,2011-01-18,2011-01-24,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-740,2011-01-20,2011-01-20,1.4.0,1.5.0,1.5.0,[1.4.0, 1.4.1],0
AVRO-741,2011-01-20,2011-01-26,1.4.0,1.5.0,1.5.0,[1.4.0, 1.4.1],0
AVRO-742,2011-01-22,2011-01-24,1.4.0,1.5.0,1.5.0,[1.4.0, 1.4.1],0
AVRO-745,2011-01-24,2011-01-24,1.4.0,1.5.0,1.5.0,[1.4.0, 1.4.1],0
AVRO-746,2011-01-24,2011-07-12,1.4.1,1.5.0,1.5.2,[1.4.1, 1.5.0, 1.5.1],0
AVRO-748,2011-01-27,2019-11-28,1.4.1,1.5.0,1.9.2,[1.4.1, 1.5.0, 1.5.1, 1.5.2, 1.5.3, 1.5.4, 1.6.0, 1.6.1, 1.6.2, 1.6.3, 1.7.0, 1.7.1, 1.7.2, 1.7.3, 1.7.4, 1.7.5, 1.7.7, 1.8.0, 1.8.1, 1.8.2, 1.9.0, 1.9.1],0
AVRO-749,2011-01-28,2011-01-31,1.4.0,1.5.0,1.5.0,[1.4.0, 1.4.1],0
AVRO-755,2011-02-01,2011-02-21,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-759,2011-02-08,2011-02-15,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-761,2011-02-09,2011-03-08,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-764,2011-02-13,2011-02-16,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-772,2011-02-21,2011-02-24,1.4.1,1.5.0,1.5.0,[1.4.1],0
AVRO-786,2011-03-22,2011-03-29,1.4.1,1.5.1,1.5.1,[1.4.1, 1.5.0],0
AVRO-790,2011-03-29,2011-04-18,1.4.1,1.5.1,1.5.1,[1.4.1, 1.5.0],0
AVRO-793,2011-03-31,2011-04-29,1.5.0,1.5.1,1.5.1,[1.5.0],0
